ID,Name,RequType,RequAmount,Cost,Type1,Type2,Type3,Type4,Slot,DescriptionText,FlavorText,CardPool1,CardPool2,Unlock,Shop,var1,var2,var3,var4,var5,var6,var7,var8,var9
000,Can you hack that for me?,,,1,Favor,,flirty,clever,Event,An associate in range var1 HACKS INT + CHR of user.,,Vin,,0,,5,,,,,,,,
001,Silent Break-In,,,2,Skill,,sneaky,expert,Event,ATTACK PWR +var1 on target environment with Sound var2,,Vin,,0,,5,0,,,,,,,
002,You do it for me!,,,2,Favor,,flirty,expert,Event,Recovers var1 of associate's AP.,,Vin,,0,,1,,,,,,,,
003,Whistle,,,1,Skill,,clever,,Event,Sound var1,,Vin,,0,,8,,,,,,,,
004,Hittem again!,,,1,Favor,,flirty,aggressive,Event,An associate in range var1 ATTACKS PWR + CHR of user.,,Vin,,0,,10,,,,,,,,
005,Camouflage,,,1,Skill,,sneaky,,Event,HIDE until user moves.,,Vin,,0,,,,,,,,,,
006,Copy Cat,,,1,Scheme,Improvise,,,Event,Copy the effects of the top Event card in the discard pile.,,Vin,,0,,,,,,,,,,
007,Spark of Genius,,,1,Skill,,clever,,Event,HACK INT +var1,,Neutral,,0,,3,,,,,,,,
008,Sneak Attack,,,2,Skill,,sneaky,aggressive,Event,MOVE var1 and ATTACK PWR +var2,,Neutral,,0,,6,2,,,,,,,
009,Plan,,,1,Scheme,,,,Event,Look at the top var1 cards of your deck and put them back in any order.,,Neutral,,0,,3,,,,,,,,
010,Sneakers,,,3,Item,Attire,,,Body,Raises wearer's SPD by var1,,Neutral,,0,,1,,,,,,,,
011,Got it!,,,1,Scheme,,,,Event,Look at the top var1 cards of your deck. Choose var2 of them and draw it. Shuffle.,,Neutral,,0,,5,1,,,,,,,
012,Dagger,,,1,Item,Weapon,,,Hand,var1 AP: ATTACK PWR +var2 on target enemy.,,Neutral,,0,,1,1,,,,,,,
013,"Hey, Tiger!",,,2,Chat,,,,Event,Reduces a close unsuspecting enemy's vision to var1 until user moves or does something suspicious.,,Neutral,,0,,0,,,,,,,,
014,Karate Kick,,,1,Skill,,,,Event,ATTACK PWR +var1,,Neutral,,0,,3,,,,,,,,
015,Sneak,,,2,Skill,,,,Event,MOVE var1 without being seen.,,Neutral,,0,,6,,,,,,,,
016,Run,,,1,Skill,,,,Event,MOVE SPD +var1,,Neutral,,0,,4,,,,,,,,
017,Cheering you on,,,1,Favor,,,,Event,Ally in range var1 MOVES var2,,Neutral,,0,,8,6,,,,,,,
018,Glass Cutter,,,1,,,,,Event,var1 AP: ATTACK var2 on target environment with Sound var3,,Neutral,,0,,2,5,0,,,,,,
019,Take-Backsie,,,2,,,,,Event,Choose a card from your discard pile and put it into your hand.,,Neutral,,0,,1,,,,,,,,
020,Laptop,,,2,,,,,Event,var1 AP: HACK INT +var2,,Neutral,,0,,2,5,,,,,,,
